time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446119841	7.53528	-5.21192	-2.74516	2.31458	0.561697	lidar	3.91006	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457
1477010446174794	7.62556	-5.33796	-2.74108	2.32887	0.543739	radar	1.24138	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974
1477010446229748	7.6983	-5.49789	-2.7605	2.31737	0.503704	lidar	1.87722	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972
1477010446284703	7.77714	-5.61629	-2.73248	2.32504	0.48145	radar	1.58275	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951
1477010446339659	7.83625	-5.78286	-2.747	2.30101	0.432734	lidar	2.41056	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948
1477010446389694	7.95074	-5.90988	-2.83091	2.33011	0.448958	radar	8.40756	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979
1477010446439730	8.01552	-6.06606	-2.84983	2.30967	0.406968	lidar	2.06699	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787
1477010446494754	8.11036	-6.19031	-2.83416	2.31898	0.391455	radar	1.55377	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739
1477010446549779	8.19514	-6.33934	-2.84641	2.31223	0.363591	lidar	0.855113	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737
1477010446604767	8.27896	-6.4565	-2.81672	2.31707	0.346408	radar	1.36724	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787
1477010446659755	8.34536	-6.61713	-2.82599	2.29361	0.304648	lidar	1.57077	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787
1477010446714702	8.43534	-6.73736	-2.81647	2.30073	0.294647	radar	0.42573	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993
1477010446769649	8.51187	-6.88173	-2.82073	2.2891	0.267349	lidar	0.641532	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993
1477010446819646	8.58662	-6.98888	-2.79805	2.29066	0.254145	radar	0.870416	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018
1477010446869643	8.64179	-7.13497	-2.80458	2.265	0.21652	lidar	1.26921	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018
1477010446919691	8.75007	-7.25963	-2.86683	2.28269	0.229021	radar	5.08985	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712
1477010446969739	8.80941	-7.41221	-2.87813	2.2557	0.191285	lidar	1.36445	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712
1477010447024687	8.87821	-7.53305	-2.81539	2.24385	0.162834	radar	6.46038	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199
1477010447079636	8.94018	-7.68485	-2.81728	2.22058	0.13134	lidar	0.862636	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988
1477010447129681	9.01977	-7.8029	-2.82113	2.22172	0.12649	radar	0.243882	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973
